"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87"
"KNOPF (R IL-7)",1,1,1,1,1,NA,1,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,1,1,NA,0,1,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,1,0,1,1,0,1,NA
"MAHONEY (D IL-8)",1,0,0,0,0,NA,NA,NA,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOUTELL (R IL-9)",1,1,NA,NA,1,1,1,0,NA,NA,NA,0,1,0,1,1,NA,NA,NA,NA,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,1,1,0,NA,1,NA,1,1,0,1,NA,NA,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,NA,1,1,NA,1,1,1,1,1,0,1,NA,NA,0,0,1,NA
"FOSS (R IL-10)",1,1,1,1,1,NA,1,0,1,0,0,0,1,0,1,NA,0,1,1,1,0,0,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,NA,1,0,NA,0,0,NA,NA
"SNAPP (R IL-11)",1,1,1,1,1,NA,1,0,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,1,1,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,0,0,NA
"FULLER (R IL-12)",1,1,1,1,1,NA,1,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,NA,0,0,1,1,1,1,0,0,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,0,NA,NA
"HITT (R IL-13)",1,NA,1,1,1,1,NA,NA,NA,0,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,NA,0,1,1,1,1,0,NA,1,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,NA,1,1,1,1,0,NA,NA,1,1,NA,NA,0,1,1,1,1,0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"MARSH (R IL-14)",1,1,1,1,1,NA,1,0,1,0,NA,NA,NA,0,NA,1,0,1,1,1,NA,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,NA,1,1,0,1,NA,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRINCE (R IL-15)",1,1,1,1,1,1,1,0,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,0,NA,NA,NA,1,1,0,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,1,1,0,NA,NA,1,1,0,0,0,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1
"GRAFF (R IL-16)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,0,0,0,NA,NA,1,1,0,0,1,1,1,0,1,NA,1,1,1,0,1,0,1,0,NA,1,1
"STERLING (R IL-17)",1,1,1,1,1,NA,1,0,NA,NA,0,0,1,1,1,1,0,1,1,1,NA,NA,1,1,1,1,0,0,1,NA,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,NA,1,1,1,0,1,1,0,1,1,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,1,0,0,0,1
"CANNON (R IL-18)",NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WARNER (R IL-19)",1,1,1,1,1,NA,1,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,1,1,NA,NA,NA,0,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,1
"RAINEY (D IL-20)",1,0,0,0,0,NA,0,1,0,1,NA,1,0,0,0,NA,1,0,0,1,NA,NA,0,1,NA,1,1,1,NA,1,NA,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,0,0,0,1,0,0,0,NA,1,NA,1,0,0,1,NA,NA,1,1,1,1,NA
"CALDWELL (D IL-21)",1,0,0,0,0,NA,0,1,0,1,NA,NA,NA,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,NA,0,NA,0,NA,1,NA,NA,0,0,1,0,0,0,1,NA,0,1,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,1,1,0,0,0,NA,1,0,1,NA,NA,1,1,NA,1,0,0,NA,NA,0,NA,NA,NA,NA,NA
"RODENBERG (R IL-22)",1,1,1,1,1,1,1,NA,1,0,NA,0,1,0,NA,1,0,1,1,1,NA,0,1,1,1,NA,0,0,1,1,1,NA,1,0,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,NA,1,0,1,1,NA,NA,NA,NA,1,NA,1,0,0,NA,1,1,1,1,0,0,1,1,1,0,1,NA,1,1,1,NA,NA,0,1,0,0,1,1
"CROWLEY (D IL-23)",1,0,0,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,1,0,0,1,NA,NA,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,0,NA,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIAMS (D IL-24)",1,0,0,NA,0,0,0,1,0,1,1,NA,NA,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,NA,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0
"SMITH (R IL-25)",1,1,1,1,1,NA,1,NA,1,NA,NA,1,0,NA,1,NA,0,1,1,1,NA,0,1,1,1,0,NA,0,NA,NA,1,1,1,0,NA,NA,NA,1,0,NA,1,1,1,1,1,0,1,1,1,NA,1,0,1,NA,NA,1,1,1,1,1,1,0,0,NA,1,1,1,1,0,0,1,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEMENWAY (R IN-1)",1,1,1,1,1,1,1,0,1,0,NA,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,NA,NA,1,0,1,1,1,1,1,0,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0,1,1,1,1,1,NA,1,0,NA,0,0,NA,1
"MIERS (D IN-2)",1,0,0,0,0,NA,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,0,0,1,1,0,1,0,0,1,1,0,1,NA,NA,NA,NA
"ZENOR (D IN-3)",1,0,0,0,0,NA,0,1,0,1,1,1,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,NA,NA,1,1,0,0,0,1,1,1,1,0,0,1,0,1,NA,1,1,0,1
"GRIFFITH (D IN-4)",1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,0,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,NA
"HOLLIDAY (R IN-5)",1,1,1,1,1,1,NA,0,1,0,NA,0,1,NA,1,1,0,1,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,NA,1,NA,1,NA,1,0,NA,0,0,0,NA
"WATSON (R IN-6)",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,0,1,1,1,0,NA,0,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,1,1,1,0,0,1,1,1,0,1,NA,NA,1,1,NA,1,0,NA,0,NA,NA,NA
"OVERSTREET (R IN-7)",1,1,1,1,1,NA,1,0,1,0,NA,0,1,0,1,1,0,1,1,0,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,1,NA,1,1,0,1,1,1,0,1,0,1,1,1,1,NA,NA,NA,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,NA,0,1,0,0,NA,NA
"CROMER (R IN-8)",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,0,1,1,1,1,0,1,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA,NA,1,1,0,0,1,1,1,0,1,1,1,1,1,NA,1,0,1,0,0,0,NA
"LANDIS (R IN-9)",1,1,1,1,1,NA,1,NA,NA,NA,0,0,1,1,NA,NA,0,1,1,1,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,0,1,1,1,NA,1,NA,0,NA,1,0,0,NA,NA,NA,NA,1,NA,0,NA,1,1,0,1,NA,NA,NA,NA,0,NA,1,0,NA,NA,0,1
"CRUMPACKER (R IN-10)",1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,1,NA,0,1,1,1,NA,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,NA,1,1,0,1,1,1,1,1,0,NA,0,1,0,0,0,NA
"LANDIS (R IN-11)",1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,1,0,0,0,NA,NA,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,NA,0,NA,1,1
"ROBINSON (D IN-12)",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,NA,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,NA,NA
"BRICK (R IN-13)",1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,1,1,1,0,0,NA,NA,NA,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,1,1,NA,NA,NA,1,0,0,0,1,NA,1,1,0,0,NA,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,1
"HEDGE (R IA-1)",1,1,1,1,1,NA,1,0,NA,NA,NA,0,1,NA,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,1,1,NA,1,1,0,1,1,1,NA,NA,NA,NA,NA,0,1,NA,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,NA,1,0,1,0,NA,0,NA,1,1
"WADE (D IA-2)",1,NA,0,0,0,NA,0,1,0,1,NA,NA,NA,0,0,0,1,0,0,1,NA,NA,0,1,NA,1,NA,NA,0,1,1,0,NA,1,NA,0,0,0,1,0,0,0,1,NA,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,1,1,1,0,0,0,0,1,NA,NA,NA,NA,1,1,NA,1,0,0,NA,1,NA,NA,NA,NA,NA,NA
"BIRDSALL (R IA-3)",1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,NA,0,1,NA,NA,0,1,0,1,1,1,1,0,NA,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,1,1,1,1,0,0,0,1,NA,1,1,0,NA,1,1,1,0,1,1,NA,1,1,NA,1,0,NA,0,0,0,1
"HAUGEN (R IA-4)",1,1,1,1,1,1,1,0,NA,0,NA,NA,1,0,0,NA,0,1,1,1,0,NA,1,1,1,NA,0,NA,1,0,0,1,1,0,1,NA,1,1,0,1,1,1,NA,1,1,NA,NA,0,1,1,1,0,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,1,0,1,1,0,1,NA,1,1,NA,1,NA,NA,1,1,0,NA,NA,NA,0,NA,0,NA
"COUSINS (R IA-5)",1,1,1,1,1,1,1,0,NA,NA,0,0,1,0,1,NA,0,1,1,NA,NA,0,1,1,1,0,NA,NA,1,NA,NA,0,1,0,1,NA,NA,1,0,1,1,1,1,1,1,0,NA,1,1,1,1,0,1,1,NA,1,1,1,0,1,1,0,0,0,1,1,NA,NA,0,NA,1,1,1,0,1,NA,NA,NA,NA,0,1,0,NA,0,0,NA,1
"LACEY (R IA-6)",1,1,1,1,1,1,NA,NA,1,1,1,0,1,0,1,NA,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
"HULL (R IA-7)",1,1,NA,NA,1,1,1,0,NA,NA,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,0,1,0,1,1,1,NA,0,1,1,1,NA,NA,NA,NA,NA,1,1,NA,1,0,1,1,1,NA,1,1,NA,1,1,0,NA,NA,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,NA,1,NA,1,0,0,0,NA
"HEPBURN (R IA-8)",1,1,1,1,1,1,1,0,NA,0,0,0,1,1,1,1,0,1,1,0,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,1,1,0,1,NA,NA,1,1,NA,NA,1,NA,0,NA,0,1
"SMITH (R IA-9)",1,1,1,1,1,NA,1,0,NA,NA,NA,NA,NA,0,1,NA,0,1,1,1,0,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,NA,1,1,1,0,1,NA,NA,1,1,0,1,0,1,0,0,1,1
"CONNER (R IA-10)",1,1,1,1,1,1,1,0,NA,NA,0,0,1,0,1,1,0,1,1,0,NA,0,1,1,1,0,NA,NA,NA,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,0,0,0,1,1,NA,NA,0,1,1,1,1,0,1,NA,NA,1,1,NA,NA,NA,NA,0,NA,0,1
"THOMAS (R IA-11)",1,1,1,1,1,1,NA,NA,1,0,0,0,1,0,1,NA,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,1,1,0,1,1,1,NA,1,0,1,1,1,0,0,NA,NA,NA,0,1,0,0,1,1,NA,NA,0,NA,1,1,1,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"CURTIS (R KS-1)",1,1,1,1,1,1,1,0,1,0,NA,0,1,0,1,1,0,1,1,1,0,0,1,NA,1,0,NA,0,1,NA,1,NA,NA,0,1,1,1,1,0,NA,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,NA,1,1,1,0,1,1,NA,NA,NA,NA,1
"BOWERSOCK (R KS-2)",1,1,1,1,1,1,NA,NA,1,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,0,1,0,1,1,1,1,0,1,1,1,0,1,NA,NA,NA,0,1,0,1,0,1,NA,0,1,1,NA,NA,NA,1,0,0,0,1,1,NA,NA,0,0,1,1,1,0,1,1,1,1,1,0,1,1,NA,0,0,NA,NA
"CAMPBELL (R KS-3)",1,1,1,1,1,1,1,0,NA,NA,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,NA,0,0,1,NA,NA,0,1,0,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,0,NA,NA,1,1,1,1,1,NA,1,0,0,0,1,1,1,1,0,NA,1,1,1,0,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1
"MILLER (R KS-4)",1,1,1,1,1,1,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,0,1,1,NA,NA,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,NA,1,0,0,0,1,1,NA,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,NA,0,0,0,1
"CALDERHEAD (R KS-5)",1,1,1,1,1,1,1,0,1,0,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,1,1,1,0,0,0,1,1,1,NA,1,0,1,1,NA,1,1,1,1,1,NA,1,1,0,1,1,1,1,NA,0,1,1,1,NA,1,1,NA,NA,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,NA,NA,NA,1,1
"REEDER (R KS-6)",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,NA,NA,1,1,1,0,0,0,NA,1,NA,0,1,0,NA,1,NA,1,0,NA,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,NA,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,NA,0,0,1,1
"MURDOCK (R KS-7)",1,1,1,1,1,1,1,0,1,0,0,0,1,1,NA,NA,0,1,1,1,0,0,1,1,NA,0,0,0,NA,0,NA,1,1,1,1,1,1,1,NA,1,1,1,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,0,0,NA,1,0,1,0,NA,NA,NA,1,0,0,1,1,1,0,1,1,NA,1,1,0,1,1,NA,NA,NA,0,1
"SCOTT (R KS-99)",1,1,1,1,1,1,1,0,NA,NA,0,0,1,0,1,1,0,1,1,1,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,0,0,NA,1,1,1,1,0,0,1,1,1,0,1,NA,1,1,1,0,1,NA,NA,0,0,1,1
"JAMES (D KY-1)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,NA,0,0,0,1,1,0,NA
"STANLEY (D KY-2)",1,0,0,0,0,NA,0,1,NA,NA,1,1,0,1,0,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,1,0,NA,1,NA,NA,1,0,0,0,0,1,NA,0,0,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,1,1,NA,1,0,0,NA,NA,NA,NA,1,1,1,NA
"RHEA (D KY-3)",1,0,0,0,0,0,NA,1,0,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,NA,NA,NA,0,NA
"SMITH (D KY-4)",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,1,1,0,1,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,1,1,1,1,0,0,0,1,NA,0,0,0,1,1,NA,NA,NA,NA,NA,0,0,0,1,NA,0,0
"SHERLEY (D KY-5)",1,0,0,0,0,0,0,1,0,1,NA,1,0,1,0,0,1,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,NA,0,1,1,1,0,0,NA,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,NA,1,1,1,0
"GOOCH (D KY-6)",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,1,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"TRIMBLE (D KY-7)",1,0,0,0,0,0,NA,NA,0,1,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,0,1,NA,0,NA,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,1,1,1,1,0,0,0,0,NA,0,0,0,1,1,0,1,0,0,NA,NA,1,NA,1,1,NA,NA
"GILBERT (D KY-8)",1,0,0,0,0,NA,0,1,NA,NA,1,1,0,0,NA,NA,1,0,0,NA,1,1,0,NA,0,1,1,1,0,0,0,NA,NA,NA,0,NA,NA,0,1,NA,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,NA,1,1,1,NA
"KEHOE (D KY-9)",1,0,0,0,0,0,0,1,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,NA,0,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,0,0,0,1,1,0,NA,NA,NA,1,NA,0,NA,1,1,1,NA
"HOPKINS (D KY-10)",1,0,0,0,0,0,NA,NA,0,1,NA,NA,NA,1,0,NA,1,0,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,NA,1,0,0,1,1,0,1,NA,0,NA,0,NA,NA,1,1,1,0
