"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84"
"DEPEW (R NY)",0,NA,NA,1,0,1,0,NA,0,0,0,0,1,NA,1,1,NA,NA,1,1,0,NA,1,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,0,1,NA,1,0,NA,NA,1,0,1,0,NA,NA,0,1,1,0,1,1,1,0,1,1,NA,NA,NA
"SIMMONS (D NC)",0,NA,NA,0,1,0,NA,NA,0,NA,1,1,0,1,1,1,1,0,0,1,NA,0,0,NA,0,1,1,1,1,1,NA,NA,0,1,0,0,NA,NA,0,1,NA,NA,NA,NA,0,0,1,0,NA,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,NA,1,1,1,0,NA,1,0,NA,NA,1,0,NA,1,NA,1,NA,0,0
"OVERMAN (D NC)",0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,NA,0,NA,1,0,1,0,1,1,1,NA,0,0,1,0,0,1,0,0,1,0,NA,1,NA,0,0,NA,NA,NA,0,0,0,1,0,0,0,1,0,1,0,1,0,1,NA,0,1,1,0,1,0,NA,1,0,1,0,NA,0,0,1,NA,1,1,0,0
"HANSBROUGH (R ND)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,0,1,1,1,1,NA,NA,0,1,1,1,1,1
"MCCUMBER (R ND)",0,1,1,0,0,NA,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,NA
"DICK (R OH)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,NA,0,1,1,0,1,1,1,NA,1,0,1,1,1,NA,1,NA,1,1,1,1,1,1,0,NA,NA,NA,1,1,NA,NA,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,NA,1,1
"FORAKER (R OH)",0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,0,0,1,NA,1,NA,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,NA,NA,1,0,1,1,1,1,1,1,0,NA,NA,0,1,NA,1,0,1,0,1,0,NA,NA,NA,NA,1,0,1,1,1,1,0,1,0,NA,NA,1,1,0,1,NA,NA,NA,0
"GORE (D OK)",1,0,1,0,1,0,1,1,1,1,1,1,0,NA,0,1,1,0,NA,NA,NA,1,0,1,0,1,NA,NA,1,0,NA,0,0,0,0,0,NA,0,0,1,NA,1,1,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,1,0,NA,NA,NA,0,1,1,NA,NA,0,0,0
"OWEN (D OK)",0,NA,0,0,1,0,0,0,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,0,1,NA,1,NA,0,0,1,NA,NA,1,NA,NA,0,1,NA,NA,NA,NA,0,1,0,0,NA,1,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,1,0,1,NA,NA,0,NA,NA,NA,NA,1,0,0
"BOURNE (R OR)",0,0,1,0,1,NA,0,0,0,0,0,0,0,1,0,0,1,1,NA,1,NA,0,1,0,1,0,0,0,0,1,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,NA,0,0,1,1,1,0,1,NA,0,1,1,NA,1,1
"FULTON (R OR)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,1,0,NA,0,1,NA,1,NA,1,1,1,1,1,1,0,0,0,1,NA,1,NA,NA,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,NA,1,0,1,1,0,1,1,1,1,1
"PENROSE (R PA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,1,0,1,1,0,0,0,1,0,0,0,NA,NA,0,1,1,NA,1,1
"KNOX (R PA)",0,0,NA,1,0,1,0,0,0,0,0,0,1,NA,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,0,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,1,NA,1,1
"ALDRICH (R RI)",0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,1,0,1,NA,NA,NA,0,1,0,0,NA,1,1,NA,1,NA,NA,1,1
"WETMORE (R RI)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,NA,0,1,0,0,0,NA,1,NA,NA,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,1,1,NA,NA,1,0,0,0,0,1,NA,0,NA,1,1,0,1,1,1,1,1
"TILLMAN (D SC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,1,0,NA,0,NA,1,1,NA,1,NA,NA,1,0,0,NA,NA,NA,NA,NA,1,NA,NA,0,0
"LATIMER (D SC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GARY (D SC)",0,1,NA,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,0,1,1,1,0,0
"KITTREDGE (R SD)",NA,NA,NA,NA,0,0,NA,NA,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,NA,1,1,1,1,0,0,0,1,NA,1,0,1,1,0,1,1,1,1,1
"GAMBLE (R SD)",0,0,1,1,0,0,0,0,0,0,0,0,1,NA,NA,0,0,1,1,NA,NA,0,1,NA,1,0,1,NA,NA,NA,1,1,1,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,NA,1,0,1,NA,NA,1,0,1,1,0,1,NA,1,0,1,1,1,1,1
"TAYLOR (D TN)",NA,NA,NA,0,NA,NA,0,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,NA,0,NA,0,1,0,0,0,NA,0,NA,NA,NA,NA,1,0,0,1,1,NA,1,1,1,1,0,1,NA,NA,NA,NA,0,1,1,NA,0,0
"FRAZIER (D TN)",0,1,1,0,1,0,NA,NA,NA,1,1,1,0,NA,NA,1,1,0,0,0,NA,NA,NA,1,0,1,NA,1,1,1,NA,0,0,1,NA,0,1,0,NA,1,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,1,0,0,0,1,0,1,0,1,NA,1,0,1,1,1,1,1,0,NA,1,0,1,0,0,0,NA,0,NA,1,1,0,0
"CULBERSON (D TX)",0,NA,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,NA,NA,NA,NA,0,0,1,NA,0,1,0,NA,1,NA,0,1,NA,0,0,0,0,NA,0,NA,0,1,0,0,0,1,0,1,0,1,0,1,0,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,0,1,NA,1,1,0,0
"BAILEY (D TX)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,NA,NA,NA,NA,1,NA,NA,0,1,0,0,NA,NA,0,1,0,0,0,1,0,1,0,1,NA,1,0,1,1,1,NA,1,NA,NA,1,0,0,NA,0,0,0,1,NA,1,NA,0,0
"SUTHERLAND (R UT)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,NA,0,0,1,0,1,0,1,1,NA,NA,1,1,1,1,0,1,0,1,NA,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,NA,1,NA,NA,1,0,NA,1,0,1,1,0,1,1,1,0,1,1,1,1,1
"SMOOT (R UT)",0,0,0,0,0,NA,0,0,0,NA,0,0,1,1,0,0,0,1,NA,1,0,0,1,0,1,0,1,1,1,NA,1,NA,NA,NA,0,NA,0,1,NA,1,NA,0,1,1,1,1,1,1,1,NA,NA,1,0,1,1,0,0,1,0,0,0,1,0,NA,1,NA,0,1,1,1,1,0,1,NA,0,1,1,1,NA,NA,NA,1,1,1
"DILLINGHAM (R VT)",0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,1,1,1,1,NA,1,1,1,NA,1,0,NA,1,NA,NA,0,NA,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,1,NA,1,0,1,0,NA,0,0,1,NA,NA,NA,1,1,0,1,1,NA,1,1
"PROCTOR (R VT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEWART (R VT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,0,1,0,0,0,NA,1,1,1,1,NA,1,1,NA,1,0,1,1,1,0,0,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAGE (R VT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1
"DANIEL (D VA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,1,0,NA,0,0,0,0,1,1,NA,1,0,0
"MARTIN (D VA)",0,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0,0,1,0,1,0,1,0,1,0,1,NA,1,1,NA,NA,0,1,NA,0,0,0,NA,NA,1,1,NA,1,0,0
"PILES (R WA)",0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,NA,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,NA,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,NA,1,1
"ANKENY (R WA)",0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,NA,0,1,NA,1,NA,0,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELKINS (R WV)",NA,0,NA,1,NA,NA,0,NA,0,0,0,0,1,NA,NA,1,NA,NA,1,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,0,1,NA,NA,NA,NA,0,1,1,1,0,1,NA,NA,NA,0,1,1,NA,NA,NA,1,0,NA,1,NA,1,NA
"SCOTT (R WV)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,1,1,NA,0,1,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,NA,1,0,1,NA,1,0,1,NA,NA,NA,0,1,1,NA,NA,1,1,0,1,1,1,1,1
"LAFOLLETTE (R WI)",0,1,1,0,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0,1,0,0,1,NA,NA,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,NA
"SPOONER (R WI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEPHENSON (R WI)",NA,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,NA,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,NA,NA,NA,0,0,0,1,0,1,NA,NA,NA,NA,1,0,0,0,1,1,0,0,NA,NA,0,1,1,NA,1,1
"CLARK (R WY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,1,1,1,0,1,1,1,NA,NA,0,NA,1,1,NA,1,NA,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,NA,NA,1,0,NA,1,0,1,NA,1,0,1,1,0,1,NA,1,1,1
"WARREN (R WY)",0,0,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,NA,NA,1,1,0,0,1,NA,0,0,1,1,1,1,0,1,1,1,1,1,0,NA,1,NA,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,NA,0,NA,0,1,1,NA,0,NA,0,0,0,0,1,1,NA,1,1,1,0,0,1,NA,1,1
