"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106","Vote 107","Vote 108","Vote 109","Vote 110","Vote 111"
"VANRENSSELA (Adams NY-10)",1,0,0,NA,NA,0,0,1,1,1,1,1,NA,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,0,0,1,0,1,NA,1,0,1,NA,0,1,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,1,NA,NA,NA,1,1,1,NA,1,1,0,NA,1,0,NA,NA
"ASHLEY (Jackson NY-11)",1,1,1,1,0,1,NA,NA,NA,1,0,1,0,0,1,1,1,NA,0,0,1,0,1,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,1,NA,1,NA,0,1,0,0,0,0,0,0,NA,NA,0,NA,NA,1,NA,0,1,NA,0,0,0,NA,0,NA,1,0,1,1,0,1,0,1,NA,0,NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,NA,0,NA,0,0,0,1,0,NA,NA,0,1,1,1,1,1,0,0
"DIETZ (Jackson NY-12)",NA,1,1,1,0,0,1,0,1,1,0,NA,NA,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,NA,0,1,NA,1,NA,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,1,1,0,1,1,0,1,0,NA,0,0,1,NA,0,1,0,NA,NA,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,NA,0,1,0,1,0,1,0,0,NA,0,1,1,1,1,1,0,0
"ANGEL (Adams NY-13)",1,NA,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,NA,0,1,0,0,0,1,NA,1,0,NA,NA,1,1,NA,NA,0,0,NA,1,1,NA,0,1,0,0,NA,0,NA,NA,0,0,NA,0,0,1,1,0,0,1,0,0,1,NA,0,0,1,0,1,1,0,1,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,0,0,1,1,NA,0,1,0,1,0,1,0,1,NA,0,0,1,1,0,NA,0,0
"STORRS (Adams NY-14)",NA,1,0,0,0,0,0,1,1,1,NA,NA,NA,NA,0,0,0,1,1,1,0,1,0,1,0,0,1,NA,1,NA,NA,0,0,NA,0,1,1,0,1,1,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,1,NA,0,1,0,1,1,1,0,1,NA,NA,NA,0,NA,NA,1,0,NA,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1,1,0,1,0,NA,1
"HOFFMAN (Jackson NY-15)",1,1,1,1,0,1,1,0,1,1,NA,0,0,0,1,1,1,NA,0,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,0,0,1,0,0,NA,0,0,1,1,0,NA,0,0,1,0,0,NA,0,0,0,1,1,0,0,1,0,1,1,0,1,NA,1,NA,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1
"MARKELL (Adams NY-16)",0,1,1,1,0,0,NA,1,1,1,0,1,NA,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,NA,1,1,NA,NA,0,1,1,1,1,0,1,1,1,1,0,0,1,NA,NA,1,1,NA,1,0,1,1,0,0,1,1,0,1,0,NA,0,1,1,1,1,1,0,NA,1,1,NA,0,0,0,1,0,1,0,0,NA,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"TAYLOR (Adams NY-17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTINDALE (Adams NY-18)",1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,NA,1,1,1,1,0,1,0,1,1,0,NA,0,1,NA,NA,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
"ROSS (Adams NY-19)",1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,NA,1,NA,NA,0,NA,NA,0,1,0,1,0,0,1,0,NA,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,NA,NA,0,0,1,0,1,1,NA,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1
"TEN (Jackson NY-20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOSDICK (Adams NY-20)",NA,0,0,1,1,NA,0,1,1,1,1,0,0,0,1,1,1,NA,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,NA,0,1,1,0,1,0,1,1,0,1,0,1,NA,0,0,1,0,0,1,1,0,1,0,0,1,NA,0,1,NA,NA,NA,1,NA,1,NA,1,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,NA,1,1,1,0,1,0,0,1,NA,NA,1
"HUGUNIN (Adams NY-20)",1,0,0,0,1,0,0,1,NA,NA,NA,1,NA,0,1,1,1,NA,NA,NA,NA,1,0,0,0,0,1,0,1,1,1,NA,0,NA,0,1,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,0,NA,1,0,0,NA,NA,0,1,0,1,NA,1,NA,0,1,NA,1,NA,NA,NA,1,NA,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,NA,NA,0,1,0,1,1,1,1,1,0,0,1,0,1,1
"WHITMORE (Adams NY-21)",NA,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,NA,0,0,1,0,NA,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1
"MILLER (Adams NY-22)",0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,1,0,1,NA,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,NA,0,1,0,0,0,0,1,NA,1,1,0,0,1,0,1,1
"BADGER (Adams NY-23)",1,0,NA,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,NA,0,1,1,0,NA,1,1,1,1,0,0,0,1,0,0,NA,1,1,0,NA,1,1,0,0,1,NA,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,NA,NA,1,0,1,0,0,0,0,1,1,1,0,NA,0,1,1,1,1,0,NA,0,0,NA,0,1,1,NA,1,0,0,NA,0,1,1
"KELLOGG (Jackson NY-24)",1,1,1,1,0,0,0,1,NA,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,NA,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,0,NA,1,1,1,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUMPHREY (Adams NY-25)",0,1,1,0,0,0,0,1,NA,1,NA,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,NA,1,0,0,0,0,0,NA,NA,0,1,1,1,1,0,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,NA,0,NA,0,0,NA,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,NA,1,1,0,0,1,0,1,1
"MARVIN (Adams NY-26)",0,1,1,0,0,NA,0,1,1,1,1,NA,0,NA,0,1,1,1,NA,NA,NA,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,NA,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,NA,0,NA,1,1,1,0,0,1,0,1,1
"ROSE (Adams NY-26)",1,NA,0,NA,NA,0,0,1,1,NA,1,1,NA,1,1,1,1,NA,0,0,1,1,0,0,0,0,1,1,1,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,0,0,1,0,0,1,NA,NA,0,1,0,NA,1,1,0,1,NA,1,1,1,0,1,NA,0,1,0,0,NA,0,0,1,0,0,0,0,1,1,1,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,0,1,0,1,NA
"HAYDEN (Adams NY-27)",1,0,0,0,1,0,0,1,1,NA,NA,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,NA,NA,NA,NA,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,NA,1,1,1,1,NA,0,NA,NA,0,1,NA
"PORTER (Adams NY-28)",1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,NA,0,0,1,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,NA,NA,NA,0,0,0,0,1,0,0,1,NA,NA,1,1,0,NA,0,1,0,0,NA,NA,1,NA,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,NA,0,0,0,1,NA,NA,0,NA,1,1,0,1,NA,0,1,1
"ADAMS (Adams NY-29)",NA,0,0,0,1,0,0,1,NA,1,NA,1,1,NA,0,1,1,NA,1,1,0,1,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,1,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,NA,1,1,NA,NA,NA,0,1,0,NA,1,NA,1,1,0,1,NA,NA,1,NA
"GARNSEY (Adams NY-30)",1,0,0,0,1,NA,NA,NA,1,1,1,1,NA,1,0,1,1,NA,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,NA,NA,NA,1,NA,NA,1,0,NA,0,0,0,NA,1,1,1,1,NA,1,1,0,NA,NA,1,1,0,0,NA,0,0,1,NA,1,NA,1,0,1,NA,NA,NA,0,NA,NA,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,NA,NA,0,1,0,1,NA,1,1,1,0,0,NA,0,NA,NA
"SAWYER (Jackson NC-1)",1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,NA,0,1,0,1,NA,1,0,0,1,NA,1,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,0,1,0,1,NA,1,1,1,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,1,NA,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,1,1,NA,NA,0,0,1,NA,1,0,NA
"ALSTON (Jackson NC-2)",1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,NA,0,0,1,1,1,1,1,NA,1,NA,0,1,0,1,0,1,1,1,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,0,1,0,0,0,1,0,NA,NA,NA,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
"HINES (Jackson NC-3)",1,1,0,0,1,0,0,1,NA,0,0,NA,NA,NA,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,NA,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,NA,1,NA,0,1,0,0,1,NA,NA,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0
"BRYAN (Jackson NC-4)",1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,NA,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,1,1,NA,0,0,NA,1,1,NA,1,1,0,NA,1,0,0,1,0,1,0,1,0,1,0,NA,1,0,1,0,0,0,1,1,1,0,0,0,0,1,NA,0,0,1,1,1,NA,1,1,0,0,1,1,0,0
"HOLMES (Jackson NC-5)",1,0,0,0,1,1,1,0,NA,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,1,1,NA,1,1,1,1,0,1,1,NA,NA,0,NA,0,1,1,1,1,0,0,0,1,1,1,0,0,NA,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDWARDS (Jackson NC-6)",1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,NA,0,1,0,NA,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,1,1,0,1,0,0,NA,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,NA,0,0,1,0,NA,NA,0,0,1,1,0,1,NA,0
"MC (Jackson NC-7)",1,1,1,0,0,1,1,0,0,0,NA,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,NA,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,0,0,NA,0,0,NA,1,0,NA,NA,NA,1,0,1,1,0,1,1,0,NA,0,0,NA,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,NA
"MANGUM (Jackson NC-8)",1,1,1,1,0,1,1,0,0,0,1,0,NA,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,NA,NA,1,0,0,1,NA,NA,1,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARRINGER (Jackson NC-8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,1,1,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,NA,0
"SAUNDERS (Jackson NC-9)",1,1,1,0,0,0,1,0,NA,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,NA,0,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,1,0,1,0,NA,0,1,NA,NA,0,1,NA,NA,NA,0,1,0,1,NA,1,NA,0,0,0,1,1,1,0,0,0,0,1,NA,1,0,1,0,1,NA,NA,0,1,0,NA,NA,NA,NA
"LONG (Adams NC-10)",NA,NA,1,1,0,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,1,1,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,NA,NA,0,1,1,1,1,1,0,0
"CONNOR (Jackson NC-11)",1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,NA,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,NA,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,NA,NA,0,1,1,0,1,0,0
"CARSON (Jackson NC-12)",1,NA,1,0,0,1,1,0,0,1,1,1,NA,1,1,1,1,NA,0,0,1,0,1,0,0,1,0,NA,0,1,1,1,1,1,1,1,1,1,0,1,NA,0,1,1,1,1,1,0,0,NA,0,0,NA,NA,NA,1,0,0,1,NA,1,1,0,1,1,0,NA,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA,0,NA,0,1,1,1,0,0
"WILLIAMS (Adams NC-13)",1,NA,0,0,1,0,0,1,0,0,1,0,NA,0,0,1,1,1,1,1,1,NA,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,NA,NA,NA,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,NA,NA,1,0,1,1,0,NA,0,NA,NA,1,NA,0,NA,0,NA,1,1,NA,1,0,1,1,0,1,0,0,0,0,1,1,0,0,NA,0,1,0,0,0,1,0,NA,NA,0,0,1,1,0,1,0,1
"FINDLAY (Jackson OH-1)",1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,NA,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
"WOODS (Adams OH-2)",1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,0,0,1,1,0,1,1,0,NA,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1
"MC (Adams OH-3)",0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,NA,1,1,0,1,1,0,0,0,1,1,0,1,1,0,NA,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,NA,1,1,1,0,0,0,1,1,0,NA,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,NA
"VANCE (Adams OH-4)",1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,1,0,0,NA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,NA,1,1,1,0,1,1,0,1,1
"CAMPBELL (Adams OH-5)",1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,NA,1,NA,NA,0,0,1,0,1,0,1,1,1,0,1,1,NA,1,1,0,1,0,0,1,1,0,NA,1,1,0,1,1,0,NA,1,NA,NA,0,0,0,NA,NA,0,1,1,0,1,0,0,0,0,0,1,NA,1,1,NA,1,0,1,NA,0,1,1,0,1,0,1,0,NA,0,1,1,1,0,0,1,NA
"THOMSON (Jackson OH-6)",1,0,0,0,1,1,NA,NA,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,NA,1,0,NA,0,0,0,0,NA,NA,1,0,1,0,1,0,1,0,NA,0,1,1,0,0,0,NA,0,0,0,NA,NA,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,NA,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,NA,NA,0,1,0,0,NA,NA,1,1,0,NA,NA,NA
"VINTON (Adams OH-7)",1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1,1,1,1,1,0,NA,0,NA,NA,NA,0,0,1,0,0,0,1,1,0,1,1,0,NA,1,NA,1,0,0,0,1,1,0,1,1,0,NA,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,NA,1,0,1,0,1,1,0,0,0,1,NA
"WILSON (Adams OH-8)",1,0,NA,NA,NA,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,NA,NA,1,1,1,0,0,1,0,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,0,0,0,0,1,1,1,1,0,0,1,1,NA,NA,0,1,NA,NA,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"BEECHER (Adams OH-9)",0,NA,0,0,1,NA,0,1,NA,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,NA,1,NA,1,1,1,1,NA,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,NA,0,1,1,NA,1,1,0,0,1,1,NA,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,NA,0,1,0,1,0,1,NA,NA,0,1,NA,0,1,NA,NA,NA
"JENNINGS (Adams OH-10)",0,0,0,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHANNON (Adams OH-10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,NA,1,1,0,0,1,1,1,1,0,1,1
