"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94"
"NELSON (NA MA-3)",0,NA,NA,NA,0,1,1,0,0,NA,NA,0,1,1,0,1,1,1,1,0,1,1,NA,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,NA,0,0,0,1,1,0,0,0,0,0,1,1,NA,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,NA,0,1,NA,0,1,NA,0,1,1,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,0
"FULLER (NA MA-4)",0,1,1,0,0,1,1,0,NA,0,NA,NA,0,1,0,NA,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,0,0,1,1,1,1,0
"SIBLEY (NA MA-5)",1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,NA,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,NA,1,0,1,0,1,NA,NA,1,1,1,1,0,NA,0,1,0,1,1,1,NA,NA,1,0,0,0,1,0,0,0,0,NA,0,0,1,0
"LOCKE (NA MA-6)",1,1,NA,0,0,1,0,0,NA,0,1,NA,1,NA,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,NA,0,0,0,1,1,0,0,0,NA,0,1,NA,0,0,NA,1,NA,1,1,1,0,1,0,1,1,1,1,1,1,1,1,NA,0,1,NA,1,1,NA,NA,1,1,NA,0,1,1,1,1,0,0,1,0,NA,NA,0
"ALLEN (NA MA-7)",0,1,0,1,1,0,1,1,NA,0,1,0,1,NA,1,1,NA,1,0,1,0,1,1,1,0,NA,1,0,0,0,1,0,0,1,NA,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,NA,NA,0,NA,0,1,NA,0,NA,1,0,NA,1,1,NA,1,NA,1,1,1,0,1,0,1,NA,NA,1,NA,NA,1,1,NA,NA,0,0,1,0,0,0,NA,0,0,0,0
"LATHROP (NA MA-8)",0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,NA,1,1,0,1,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,NA,0,0,1,0,1,1,0
"DWIGHT (NA MA-9)",1,1,1,0,0,1,0,0,1,NA,0,0,0,1,1,1,0,NA,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,NA,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,1,1,1,1,1,NA,0,0,1,NA,NA,NA,NA
"BAILEY (NA MA-10)",0,1,NA,NA,0,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,1,0,0,0,0,1,0,1,1,0
"HOBART (NA MA-11)",0,1,0,1,1,0,NA,0,0,0,1,NA,1,NA,0,NA,NA,1,1,0,1,1,NA,1,0,1,NA,NA,0,0,1,1,NA,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,1,NA,0,0,1,NA,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,NA,1,0,0,1,1,0,1,1,NA,0,NA,0,NA,0,0,0,1,0,0,1,0
"BAYLIES (NA MA-12)",1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,NA,0,1,0,1,1,0,NA,1,1,1,NA,1,1,1,1,0,1,1,NA,0,NA,0
"REED (NA MA-13)",0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,NA,0,1,1,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,NA,NA,0,NA,1,0,1,1,NA,NA,1,0,1,1,1,1,1,1,1,0,NA,1,1,NA,0,NA,1,0,1,1,NA,0,1,NA,NA,1,0,0,1,0,1,1,0
"RANKIN (NA MS-1)",0,1,1,0,0,1,NA,0,0,0,1,0,1,0,1,1,0,NA,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,NA,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,NA,1,0,NA,NA,1,NA,0,1,0,NA,NA,0,0,1,NA,1,1,0,1,1,1,0
"SCOTT (NA MO-1)",NA,0,1,0,0,1,NA,NA,NA,0,0,0,1,0,NA,NA,0,0,0,1,0,0,NA,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,NA,0,1,0,NA,0,1,NA,1,1,0,0,0,0,0,0,0,NA,1,1,0,1,1,1,0,1,1,0,1,1,1,NA,1,1,NA,0,0,1,1,1,1,0
"MATSON (NA NH-98)",0,NA,0,1,1,0,NA,1,NA,0,0,NA,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,NA,1,1,1,NA,0,0,1,1,0,NA,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,NA,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,NA,0,NA,0,0,0,0,0,1,1,1,1,NA
"WHIPPLE (NA NH-98)",1,1,0,1,1,0,0,0,NA,1,0,0,0,1,0,0,0,NA,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,1,1,0,0,1,0,0,0,1,NA,1,0,1,1,0,0,1,0,1,1,NA,0,0,1,0,0,0,0,1,NA,NA,1,0
"PLUMER (NA NH-98)",0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,NA,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,NA,1,1,1,1,0,0,1,NA,NA,NA,0
"BARTLETT (NA NH-98)",0,1,1,1,1,0,1,0,1,0,1,NA,1,1,NA,1,NA,1,1,0,1,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,NA,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,NA,0,1,1,0,1,0,NA,NA,NA,1,0,NA,1,1,0,1,0,1,0
"LIVERMORE (NA NH-98)",0,1,0,1,1,0,1,1,NA,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,NA,0,NA,1,1,0,0,0,NA,1,0,NA,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,NA,NA,1,0,0,NA,1,0,NA,0,0,0,NA,0,0,0,0,1,NA,NA,NA,NA
"HARVEY (NA NH-98)",0,1,0,1,1,0,NA,0,NA,0,1,NA,1,NA,NA,0,0,1,1,1,NA,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,NA,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0
"MATLACK (NA NJ-98)",0,0,1,0,0,1,1,1,1,1,0,NA,0,0,1,0,0,NA,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,0,1,0,0,NA,1,1,1,0,0,0,0,0,0,0,1,NA,0,1,0,0,1,1,0,1,0,NA,1,0,0,1,0,0,0,1,0,NA,1,1
"GARRISON (NA NJ-98)",1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,NA,NA,NA,0,1,0,0,1,0,1,0,0,NA,NA,1,1,0,0,0,0,0,0,0,1,1,0,1,1,NA,0,1,NA,1,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
"CASSEDY (NA NJ-98)",0,1,1,0,0,1,0,0,0,0,1,1,0,NA,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,NA,0,NA,1,1,1,NA,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,NA,NA,0,NA,NA,1,1,NA,1,NA,1,1,1,0,0,1,NA,NA,1,1
"HOLCOMBE (NA NJ-98)",0,1,1,0,0,1,0,0,0,0,NA,0,0,NA,1,NA,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,NA,1,NA,0,1,NA,NA,NA,NA,1,1,0,1,1,0,1,1,NA,1,0,1,0,1,1,NA,0,0,0,1,NA,NA,0,NA,1,1,NA,NA,1,1,1,1,1,1,1,0,NA,NA,NA,0
"SWAN (NA NJ-98)",0,1,1,0,0,1,NA,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,NA,0,1,1,1,NA,NA,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,NA,1,1,0,NA,1,0,0,1,0,0,0,1,0,1,1,0
"CONDICT (NA NJ-98)",1,1,1,0,NA,1,0,0,1,1,0,1,0,0,1,0,0,0,NA,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,NA,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,1,1,NA,NA,0,1,NA,0,1,1,0,0,1,0,1,1,0
"WOOD (NA NY-1)",0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,NA,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,NA,0
"TYSON (NA NY-2)",1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,NA,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,NA,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,NA,0,NA,NA,1,0,NA,0,0,1,0,0,0,0,NA,0,1,0,NA
"MORGAN (NA NY-3)",NA,1,0,1,1,NA,1,0,NA,1,0,1,1,1,NA,NA,NA,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,NA,1,0,NA,NA,NA,0,1,1,0,0,0,1,1,0,0,NA,1,NA,NA,0,0,NA,NA,1,NA,NA,NA,1,NA,1,0,1,1,1,1,NA,NA,NA,0,1,NA,NA,NA,1,NA,1,0,1,0,0,1,0,NA,1,1,NA,0,0,0,NA
"SHARPE (NA NY-3)",1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,NA,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,NA
"CAMBRELENG (NA NY-3)",0,0,0,1,1,0,1,NA,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,NA,NA,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"FROST (NA NY-4)",1,1,0,1,1,0,1,NA,0,0,NA,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,NA,0,0,NA,NA,1,0,0,0,1,1,NA,0,1,0,0,NA,1,1,0,0,0,NA,1,NA,NA,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,NA,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,NA,1,1,0,1
"VANWYCK (NA NY-5)",0,0,0,1,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,NA,1,NA,NA,NA,1,0,1,0,1,1,1,0,0,0,0,0,0,NA,0,1,0,1,1,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,NA,0
"CRAIG (NA NY-6)",0,NA,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,NA,NA,1,1,1,NA,0,0,1,0,0,1,0,1,NA,0,NA,1
"JENKINS (NA NY-7)",0,1,0,1,1,0,1,0,1,1,0,1,0,NA,1,0,0,0,0,1,0,1,1,1,0,1,NA,0,1,0,0,0,0,NA,0,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,1,0,1,1,NA,1,0,0,1,0,NA,1,1,NA,0,0,1,0,0,0,0,1,NA,0,1,1,NA,NA,1,1,1,1,1,0,0,1,0,0,0,0,1,NA,1,0,1
"STRONG (NA NY-8)",1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,NA,0,0,1,0,0,1,1,0,0,NA,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,NA,NA,0,1,NA,0,NA,NA,1,NA,0,1,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,0
"HOGEBOOM (NA NY-9)",0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,NA,0,1,1,0,NA,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,NA,0,NA,NA,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,NA,0,1,NA,0,0,0,1
"VANRENSSEL (NA NY-10)",1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,1,1,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,0,0,1,0,1,1,0
"FOOTE (NA NY-11)",1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,NA,1,NA,1,0,1,1,1,0,1,NA,NA,0,NA,1,0,0,1,0,1,NA,NA,0,0,1,0,NA,1,1,0,0,0,0,1,1,NA,0,0,NA,1,0,1,0,0,1,1,1,1,1,1,1,NA,NA,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,NA
"EATON (NA NY-12)",NA,0,0,0,1,0,NA,0,1,1,0,0,1,NA,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,NA,1,1,1,NA,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIAMS (NA NY-13)",1,1,0,0,1,0,0,0,NA,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,NA,0,0,NA,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,NA,NA,NA,1,NA,0,1,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,NA,NA
"STORRS (NA NY-14)",NA,1,1,0,0,1,0,0,1,1,NA,0,0,NA,1,0,0,0,0,1,0,NA,1,1,1,0,NA,NA,1,0,0,0,0,0,1,NA,1,NA,0,0,1,1,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,0,1,0,1,1,NA
"HERKIMER (NA NY-15)",0,1,1,0,0,1,0,0,1,1,0,1,0,NA,NA,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,NA,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,NA,1,1,NA,0,0,0,NA,0,1,0,1,NA,1,0,0,NA,0,0,0,1,0,NA,0,1,1,NA,0,1,NA,NA,1,1,1,0,1,1,0,0,0,1,0,0,1,NA
"CADY (NA NY-16)",0,1,NA,1,1,0,0,0,1,NA,NA,0,1,0,1,1,NA,0,0,1,0,1,1,1,0,0,NA,1,1,0,0,0,0,1,1,0,1,NA,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,NA,NA,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,1,NA,NA,NA,0,NA,1,NA,1,0,NA,1,1,0,0,0,0,NA
"TAYLOR (NA NY-17)",0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,NA,NA,1,0,0,0,1,1,1,0,1,NA,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
"MARTINDALE (NA NY-18)",0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,NA,0,0,0,0,1,NA,NA,NA,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"RICHARDS (NA NY-19)",1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,NA,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1
"COLLINS (NA NY-20)",1,0,0,1,1,0,NA,NA,1,1,0,1,1,0,NA,1,0,1,0,1,0,0,1,1,1,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,NA,1,NA,1,1,0,1,1,NA,1,1,0,1,1,0,NA
"TENEYCK (NA NY-20)",0,0,0,1,1,0,1,0,NA,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,1,1,1,1,0,0,1,0,1,0,1,NA,0,0,1,0,0,0,1,0,1,0,1,1,1,0,NA,NA,1,1,NA,0,0,1,0,0,1,1,0,1,1,0,1
"CLARK (NA NY-21)",NA,0,0,1,1,0,NA,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,NA,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,1,1,0,1,0,0,1,0,0,0,NA,1,0,0,0,1,0,NA,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,1,0,1,0,1,0,0,1,0,NA
"DWINELL (NA NY-22)",0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,NA
"LITCHFIELD (NA NY-23)",0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,NA,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,NA,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,NA,NA,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,NA,0,1,0,0,1,0,0,0,1,0,NA,1,0,1
"DAY (NA NY-24)",0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,NA,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,NA,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,NA,0,1,1,0,0,1,NA,1,1,1,0,0,1,0,0,0,1,0,1,0,0,NA
"LAWRENCE (NA NY-25)",1,1,1,0,0,1,0,0,1,NA,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,NA,1,1,NA,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,1,0,0,1,1
"MARVIN (NA NY-26)",1,1,1,0,0,1,1,0,NA,0,0,NA,0,0,1,0,NA,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,NA,NA,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,NA,1,0,NA,NA,1,0,1,0,NA,1,0,0,0,0,1,0,1,1,1
"ROSE (NA NY-26)",0,1,NA,NA,NA,NA,1,NA,1,0,1,1,1,1,0,0,0,NA,0,1,0,NA,1,1,1,1,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,NA,0,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,1,1,1,1,0,0,0,1,0,0,1,0,0,1,NA,NA,0,NA,1,1,NA,1,0,NA,1,1,NA,0,0,1,0,1,1,NA
"HAYDEN (NA NY-27)",0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,NA,NA,NA,NA,0,NA,NA,1,0,1,1,1,1,0,0,1,0,0,1,0
"WOODS (NA NY-28)",0,1,0,0,NA,0,0,0,1,1,0,1,NA,NA,1,0,0,0,0,1,0,0,NA,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,NA,NA,1,1,1,1,1,1,1,1,0,0,1,0,NA,1,NA
"WILSON (R NY-29)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMS (NA NY-29)",NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,0,NA,1,0,0,NA,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,NA,1,NA,0,0,1,0,1,0,1,NA,1,1,1,0,0,0,0,0,0,0,NA,NA,0,1,NA,1,NA,NA,1,1,1,1,1,NA,1,1,1,0,0,1,NA,NA,NA,NA
"TRACY (NA NY-30)",NA,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,NA,0,0,1,0,0,1,1,1,0,0,1,0,0,0,NA,0,1,1,0,1,1,0,0,NA,1,0,0,0,1,1,1,1,1,NA,1,1,1,1,1,0,1,NA,NA,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,1,NA,NA,0,0,1,NA,NA,NA,NA
"GATLIN (NA NC-1)",0,1,0,1,1,0,NA,0,0,0,0,1,0,0,1,1,NA,NA,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,NA,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,NA
