"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83"
"TATOM (R NC-4)",1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,NA,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STRUDWICK (Federalist NC-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,NA,0,1,NA,1,0,1,1,1,1,1,1,NA,1,1,1,1,NA,0,0,NA,0,1,0,0,1,0,0,0,1,1,0,1,0,0
"MACON (R NC-5)",0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,NA,1,1,1,0,0,NA,1,0,0,1,1,0,0,1,0
"GILLESPIE (R NC-6)",1,NA,1,0,1,1,1,0,1,1,NA,NA,NA,1,0,1,1,0,1,1,0,1,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,1,0,0,1,0,1,0,NA,NA,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0
"GROVE (Federalist NC-7)",1,1,1,NA,NA,1,1,0,1,1,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,0,1,NA,0,0,0,NA,0,0,1,0,1,0,1,0,1,1,0,NA,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,1,NA,NA,0,0,NA,1,NA,NA,NA,1,1,0,1,1,0,NA
"BURGES (R NC-8)",1,1,1,0,1,1,1,0,1,NA,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,NA,NA,1,0,1,1,1,1,0,1,1,1,0,1,NA,0,1
"BLOUNT (R NC-9)",1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,1,NA,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
"BRYAN (R NC-10)",1,NA,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,1,0,1,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,NA,0,1,1,0,1,1,0
"SWANWICK (R PA-1)",1,NA,1,0,1,1,0,0,1,1,1,1,1,0,0,1,NA,0,1,1,0,NA,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,NA,0,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
"MUHLENBERG (R PA-2)",1,NA,1,0,1,1,0,NA,NA,1,1,1,1,0,0,1,1,0,1,1,1,NA,NA,NA,NA,0,0,1,1,0,1,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,NA,NA,0,1,1,NA,NA,NA,NA,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0
"THOMAS (Federalist PA-3)",1,0,0,NA,NA,0,0,0,1,0,0,0,0,0,NA,1,0,1,1,0,1,NA,NA,0,1,0,0,1,1,0,1,1,0,1,0,NA,NA,NA,NA,1,0,1,1,0,NA,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,NA,0,0,1,1,1,1,NA,NA,0,0,1,1,1,1
"RICHARDS (R PA-4)",NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,NA,NA,NA,NA,0,1,0,1,NA,NA,0,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,1,1,1,1,1,1,NA,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0
"SITGREAVES (Federalist PA-4)",1,1,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,NA,NA,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,NA,1,1
"HIESTER (R PA-5)",1,0,NA,0,1,NA,NA,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,NA,0,0,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGE (Federalist PA-5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,NA,0,1,0,NA,1,0,NA,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1
"MACLAY (R PA-6)",0,1,1,0,1,1,0,NA,NA,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,NA,1,0,1,0,0,0,0,0,NA,1,1,0,0,0,0
"KITTERA (Federalist PA-7)",1,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,NA,1,1,0,1,NA,1,0,1,NA,1,1,1,1,1,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,1,NA,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1
"HARTLEY (Federalist PA-8)",1,NA,0,NA,NA,0,NA,1,0,0,0,0,0,0,0,1,NA,1,1,0,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,0,1,NA,0,0,0,0,1,1,NA,0,1,0,0,1,1,0,NA,NA,1,0,1,1,1,1,0,0,1,NA,NA,1
"GREGG (R PA-9)",1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,NA,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,NA,1,NA,1,1,0,NA,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,NA,0,0,NA,0,0,1,1,0,1,1,0
"BARD (R PA-10)",1,0,1,0,1,1,NA,NA,NA,1,1,1,1,1,0,1,1,0,1,1,0,1,NA,0,1,NA,0,NA,1,NA,0,0,1,1,NA,0,1,0,1,NA,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,NA,NA,1,1,0,0,NA,0
"FINDLEY (R PA-11)",1,1,1,0,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,0,1,NA,NA,1,1,0,1,0,0,0,NA,0,1,0,1,1,1,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,NA,1,1,1,1,0,0,1,1,1,1,1,1,NA,1,0,1,1,0,1,NA,0,NA,1,1,1,0,NA,0
"GALLATIN (R PA-12)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,NA,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,NA,0,1,1,1,1,0,0,1,0
"MALBONE (Federalist RI-98)",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,NA,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,0,0,1,1,0,0,0,0,0,1,1,0,NA,0,1,0,0,1,1,1,0,0,1,0,NA,1
"BOURN (Federalist RI-98)",1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POTTER (Federalist RI-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,0,1,0,1,1,1,0,0,1,NA,1,0,1,1,1,1,1,1,0,0,1,0,1,0
"SMITH (Federalist SC-1)",1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,NA,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,NA,0,1,1,1,1,0,0,1,NA,1,1
"HAMPTON (R SC-2)",NA,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,1,1,1,1,0,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,1,NA,0,0,1,1,0,1,1,0
"BENTON (R SC-3)",0,NA,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,1,1,1,0,1,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINN (R SC-4)",1,1,1,0,1,NA,1,0,1,1,1,1,1,1,NA,0,NA,0,1,1,0,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,1,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,0,0
"HARPER (Federalist SC-5)",1,1,0,0,1,0,1,0,NA,0,0,0,0,1,0,1,0,1,1,0,1,1,NA,0,NA,NA,0,1,1,0,1,0,0,1,1,NA,0,0,0,NA,NA,1,1,0,1,0,NA,0,1,0,1,0,0,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1
"EARLE (R SC-6)",0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,NA,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACKSON (R TN-1)",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,NA,0,0
"SMITH (R VT-1)",0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,NA,0,1,0,0,0,1,1,1,0,1,0,1,0,1,NA,0,0,1,1,1,0,NA,1,1,NA,NA,NA,1,0,0,0,1,1,1,0,0,1,0,NA,1,NA,1,1,0,1,1,1,1,1,1,0,0,1,NA,1,1
"BUCK (Federalist VT-2)",1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,NA,0,1,1,1,1,0,0,1,1,1,0,1,NA,0,1,0,1,1,1,1,NA,1,1,0,1,1,1,1
"RUTHERFORD (R VA-1)",NA,NA,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,NA,1,NA,0,1,1,0,1,0,1,1,NA,0,1,1,1,NA,1,0,NA,NA,NA,0,NA,NA,1,1,1,1,1,0,NA,1,1,1,1,0,0,1,1,NA,NA,NA,1,NA,1,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,1,0
"MOORE (R VA-2)",1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,1,NA,NA,1,0,1,1,0,0,0,0,0,0,NA,NA,0,1,0,1,0,1,0,1,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,NA,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0
"JACKSON (R VA-3)",0,1,1,0,NA,1,1,0,1,NA,1,1,1,1,1,0,1,0,1,1,0,1,0,NA,0,0,0,0,1,0,0,0,1,1,NA,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,NA,0,1,1,1,1,1,1,0,NA,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"PRESTON (R VA-4)",1,1,1,0,1,1,1,0,1,1,1,1,1,1,NA,0,NA,0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,0,0,1,1,1,NA,1,0,1,1,NA,0,NA,NA,NA,1,1,0,1,1,1,1,0,0,0,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HANCOCK (Federalist VA-5)",1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,NA,0,1,0,1,NA,0,0,0,0,0,1,0,NA,NA,1,1,0,NA,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLES (R VA-6)",1,0,1,0,1,1,1,0,NA,1,1,1,1,1,1,0,1,0,1,1,0,NA,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,1,0,0,1,0,1,NA,0,1,1,1,1,1,0,NA,1,1,1,1,1,0,1,1,1,1,1,1,0,1,NA,NA,1,0,0,0,0,0,1,1,0,0,NA,0
"VENABLE (R VA-7)",1,0,1,0,1,1,1,0,1,1,1,1,1,1,NA,0,1,0,1,1,0,1,1,NA,NA,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,NA,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,NA,NA,0,0,0,NA,0,NA,1,1,0,0,1,0
"CLAIBORNE (R VA-8)",0,1,1,0,1,1,1,0,1,NA,NA,NA,NA,1,0,1,1,0,1,0,0,1,0,0,NA,NA,0,0,1,0,0,0,1,1,1,0,1,0,1,NA,1,0,0,0,1,0,1,1,1,NA,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0
"GILES (R VA-9)",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,NA,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,NA,1,0,0,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARRISON (R VA-10)",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,NA,0,NA,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,NA,0,1,0,1,1,0,1,NA,0,1,1,1,1,0,NA,NA
"PARKER (Federalist VA-11)",1,1,1,0,1,1,1,NA,0,1,1,1,1,1,0,1,1,0,1,0,0,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,NA,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,NA,NA,1,0,0,1,1,1,1,0,1,1,NA,1
"PAGE (R VA-12)",0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,NA,0,1,0,1,1,0,1,0,NA,1,1,1,NA,NA,1,1
"CLOPTON (R VA-13)",0,NA,1,0,1,1,1,0,1,1,1,1,1,1,1,0,NA,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA,NA,NA,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,NA,1,NA,0,0,1,1,0,0,NA,0
"CABELL (R VA-14)",1,1,1,0,1,1,1,0,1,1,1,1,1,1,NA,0,1,0,1,1,0,NA,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,0,0,1,1,1,1,NA,0,1,1,1,1,1,0,0,NA,0,1,0,0,1,0,0,0,1,1,0,0,NA,0
"MADISON (R VA-15)",0,NA,1,0,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,NA,1,0,0,0,1,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,0,1,1,0,NA,NA,NA,1,1,1,NA,NA,1,0
"NEW (R VA-16)",1,NA,1,0,1,1,1,0,1,1,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,1,0,1,NA,1,0,1,0,NA,NA,NA,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,NA,1,0,1,0,1,NA,NA,1,0,0,0,1,1,0,NA,NA,0
"BRENT (R VA-17)",NA,NA,1,0,1,NA,1,1,1,1,NA,NA,NA,1,0,1,1,0,1,1,0,1,NA,0,1,NA,0,0,1,0,0,0,NA,1,0,0,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,0,0,NA,NA,NA,NA,1,NA,1,1,1,1,1,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,1,1,1,NA,1,0
"NICHOLAS (R VA-18)",0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,NA,1,0,1,NA,0,0,1,1,1,1,NA,1,1,1,NA,0,0,0,0,1,1,NA,0,1,1,1,1,0,0,NA,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0
"HEATH (R VA-19)",NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,0,0,1,0,0,1,0,0,NA,1,0,1,0,0,0,1,0,0,NA,NA,NA,1,1,1,NA,NA,1,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,NA,NA,0,0,0,0,1,0,1,0,1,NA,0,0
