"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95"
"LATHROP (Federalist MA-5)",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,1,1,0,NA,0,1,0,1,0,1,0,0,1,1,0
"ALLEN (Federalist MA-6)",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,NA,NA,NA,0,NA,0,1,NA,NA,1,NA,NA,NA,0,1,0,1,1,0,0,1,1,0,0,1,0,1,NA,NA,0,1,1,0,NA,NA,1,1,NA,0,0,1,1,0,0,1,1,0,NA,NA,1,0,0,0,1,0,0,NA,1,0
"DWIGHT (Federalist MA-7)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,1,NA,NA,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,NA,1,1,1,0,1,1,0,1,1,0,NA,NA,0,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,1,0,NA,1,0,0,NA,0,1,0,1,1,1,0,0,1,1
"HOBART (R MA-8)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,NA,0,0,0,1,NA,1,1,1,1,NA,1,1,1,0,1,0,1,1,0,0,NA,1,NA,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,NA,NA,0,NA,NA,1,NA,1,NA,NA,1,0,NA,0,1,1,0,0,NA,NA,1,0,0,0,1,0,0,1,NA
"REED (Federalist MA-9)",NA,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,NA,1,0,0,1,0,NA,0,1,1,1,1,0,1,1,0,0,1,1,0,NA,0,0,NA,0,1,NA,1,0,0,1,1
"BAYLIES (Federalist MA-10)",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,NA,0,1,1,1,1,1,1,0,1,NA,NA,NA,1,1,NA,0,0,0,1,0,1,1,NA,NA,NA,NA,0,1,1,0,0,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,1,1,0,1,1,0,0,NA,0,1,1,1,0,0,0,NA,NA,1
"RUSSELL (R MA-11)",NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,NA,1,0,NA,NA,1,1,0,0,1,0,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,0,1,0,0,NA,NA,1,0,0,0,NA,NA,1,1,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,NA,0,1,1,0,0,NA,NA,0,0,1,NA,NA,1,0,NA,NA
"BIGELOW (Federalist MA-12)",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,NA,0,0,1,1,0,1,0,1,1,1,1,0,1,1,NA,1,0,0,NA,1,0,0,1,NA,0,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,1,NA,NA,NA,1,1,0,NA,1,1,0,1,0,1,1,0,NA,1,0
"EUSTIS (R MA-13)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,NA,1,0,1,0,1,1,0,NA,1,NA,0,NA,1,NA,1,1,NA,0,0,NA,1,1,1,1,0,1,1,NA,NA,0,1,0,0,0,0,NA,0,0,0,1,1,0,NA,1,1,0,0,NA,1,0,1,NA,0,NA,1,NA,0,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RANKIN (R MS-1)",0,0,1,0,0,0,0,1,1,0,NA,1,0,1,0,NA,1,1,1,NA,1,0,NA,1,NA,1,1,0,0,NA,1,1,0,0,0,1,1,0,1,1,1,NA,0,1,0,1,0,1,1,NA,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,0,0,0,1,NA,NA,0,0,0,1,0,NA
"SCOTT (R MO-1)",1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,NA,NA,NA,0,NA,NA,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,NA,1,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,1,1
"MATSON (R NH-98)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,NA,NA,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,NA,NA,0,1,NA,0,NA,NA,0,1,0,1,1,0,NA,0,1,0,1,0,0,0,1,0,1,0
"PLUMER (R NH-98)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,NA,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,NA,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,0,1,1,0,0,0,1,NA,NA,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0
"WHIPPLE (R NH-98)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,NA,1,1,1,1,NA,0,1,1,0,0,0,0,NA,1,1,1,0,1,1,0,NA,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,NA,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1
"UPHAM (R NH-98)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,1,NA,0,0,0,0,1,1,0,0,NA,1,1,0,1,1,NA,0,0,1,NA,1,1,1,0,0,1,0,NA,1,1,0,0,0,0,1,NA,NA,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,NA,0,0,1,0,0,0,1,0,0,0,0,0,1,NA,0,0,0,0,0,1,NA
"BUTLER (R NH-98)",1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,1,1,0,0,0,0,1,1,0,1,NA,1,1,NA,0,0,1,0,1,1,NA,1,1,0,1,1,0,1,NA,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,0,1,1,0,0,1,0,NA,0,1,NA,1,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA
"HARVEY (R NH-98)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,NA,0,1,1,NA,NA,1,1,0,NA,0,0,1,1,0,1,0,1,0,0,0,NA,0,0,0,0,NA,0,NA,NA,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,NA,0,1,NA,1,0,1,0,1,NA,NA,0
"MATLACK (R NJ-98)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,NA,0,1,0,0,1,0,NA,NA,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,NA,1,1,1,0,NA,1,1,1,0,1,0,1,0,0,0,1,NA
"CASSEDY (R NJ-98)",1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,NA,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1
"CONDICT (R NJ-98)",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,0,1,1,1,1,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,1,NA,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0
"SWAN (R NJ-98)",NA,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,NA,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,NA,NA,NA,NA,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,NA,1,0,1,1,0,0,1,0
"BATEMAN (R NJ-98)",1,1,1,0,1,0,1,0,0,0,0,1,NA,NA,NA,NA,1,1,0,1,0,0,1,1,0,1,1,0,0,1,NA,NA,NA,0,1,0,0,1,0,0,NA,1,1,0,0,1,NA,1,1,1,0,0,0,0,NA,1,1,0,0,0,0,1,0,NA,1,NA,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,NA,NA,1,1,1,1,1,NA,1,0,1,0
"HOLCOMBE (R NJ-98)",1,0,0,1,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,0,1,1,0,1,0,1,0,1,0,NA,1,NA,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,NA,1,NA,0,1,1,0,1,0,NA,1,1,0,0,1,1
"COLDEN (Federalist NY-1)",1,NA,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,NA,1,0,1,1,1,1,0,NA,NA,1,1,NA,0,1,1,NA,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,NA,0,NA,NA,1,NA,1,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,0,0,1,NA
"WOOD (R NY-1)",1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,NA,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,NA,1,0,0,1,1,1,0,0,1,1,0,0,1,0,NA,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,NA,0,1,1,1,0,0,1,0,0,1,0,1,1
"MORGAN (R NY-2)",1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,NA,0,1,NA,1,1,1,1,1,1,1,NA,1,0,1,0,1,1,0,0,1,NA,0,0,1,0,0,0,0,NA,1,1,0,NA,1,0,0,0,1,1,1,0,0,0,NA,NA,0,1,1,1,1,0,1,0,0,1,1,0,1,NA,NA,NA,0,0,NA,1,0,0,1,NA
"CAMBRELENG (R NY-2)",1,0,0,1,1,1,1,0,0,1,1,NA,0,0,0,1,0,0,1,1,1,1,0,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,0,1,1,1,0,0,1,0,0,0,NA,1,0,0,0,1,0,0,1,0,1,0,1,1,1
"PIERSON (R NY-3)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,1,0,0,NA,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,NA,1,1,0,0,0,1,NA,NA,0,0,1,0,1,0,1,NA,1,1,1,0,0,NA,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,NA,0,1,0,0,1,1,0,0,1,0
"VAN (R NY-4)",1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,NA,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,0,NA,0,0,NA,0,0,1,0,0,1,1,0,NA,NA,0,1,0,0,1,0,1,1,1,1,0,NA,1,1
"PATTERSON (Federalist NY-5)",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,NA,NA,1,0,NA,1,1,1,1,NA,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,NA,1,1,1,1,0,1,1,0,NA,0,0,NA,0,1,NA,1,1,0,0,1,0,1,NA,0,0,1,1,0,0,NA,NA,1,0,NA,1,1
"BORLAND (R NY-6)",1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,NA,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,NA,0,0,1,0,0,0,1,0,0,NA,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,NA,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
"RUGGLES (Federalist NY-7)",1,0,1,0,1,0,0,1,0,0,0,0,NA,1,0,1,0,0,1,1,NA,1,0,1,1,1,NA,1,NA,1,1,1,1,1,1,0,1,1,NA,1,0,NA,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,NA,0,1,1,0,1,NA,1,1,1,NA,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,NA,NA,0,1,NA
"MCCARTY (R NY-8)",1,1,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1
"VANRENSSELA (Federalist NY-9)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VANRENSSELA (Federalist NY-9) 9632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,NA,0,NA,1,NA,1,1,1,1,1,1,NA,1,0,1,1,0,1,0,0,1,0,1,1,0,NA,0,0,0,1,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,NA,NA,1,0,0,1,NA
"DICKINSON (Federalist NY-10)",1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,NA,NA,1,NA,NA,1,1,1,1,0,NA,NA,0,0,NA,NA,NA,0,0,NA,1,1,0,NA,0,1,0,1,1,1,0,1,0,1,0,1,0,1,NA,1,0,NA,1,1,NA,1,1,0,0,1,NA,NA,1,NA,1,NA,1,0,0,0,NA,1,0,1,1,NA
"TAYLOR (R NY-11)",1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,NA,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,NA,1,0,NA,0,NA,1,0,1,0,1,1,0,1,0,0,0,1,0,NA,NA,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,NA
"PITCHER (R NY-12)",1,NA,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,NA,NA,0,0,1,0,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,NA,1,1,NA,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,NA,0,0,1,1
"WALWORTH (R NY-12)",1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,NA,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,NA,1,1,0,1,1,1,NA,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,NA,1,0,0,1,1,1,0,1,1,1
"GEBHARD (Federalist NY-13)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,NA,1,0,NA,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,0,1,NA,1,0,1,0
"CONKLING (R NY-14)",1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,NA,1,0,1,1,1,1,0,1,1,NA,1,1,1,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,NA,0,1,NA,NA,1,0,0,1,1,1,NA,0,1,0,1,1,1,0,0,NA,0,1,1,1,1,1,1,0,1,1
"HAWKES (R NY-15)",1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,NA,1,0,1,1,NA,1,0,0,0,1,1,1,0,NA,0,0,1,0,1,0,1,1,0,1,0,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,NA,1,1,0,NA,NA,0
"CAMPBELL (R NY-15)",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,1,0,1,NA,1,1,1,1,0,1,0,1,1,1,1,NA,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,NA,1,0,NA,NA,0,1,NA,NA,NA,1,0,1,0,1,1,1,1,1,0,1,0,0,NA,1,NA,0,1,NA
"KIRKLAND (Federalist NY-16)",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,NA,NA,0,0,0,0,1,0,1,1,NA,NA,NA,NA,0,1,0,0,1,NA,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,1,0,1,0,1,0,1,1,1,NA,1,1,NA,1,NA
"HUBBARD (R NY-17)",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,NA,1,NA,1,0,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,0,NA,1,1,1,0,1,0,1,1,0,1,0,1,0,1,NA,1,1,0,0,1,0,0,0,1,1,0,NA,1,1,0,0,0,1,1,1,1,0,1,NA,1,1,1,0,1,1,1,1,0,NA,1,1,1,0,1,1
"STERLING (Federalist NY-18)",1,NA,0,1,1,1,0,0,1,0,0,1,0,1,1,NA,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,1,0,0,1,1,0,0,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,0,0,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,1,0,1,NA,1,1,0,1,1,0,1,1,0,1,NA,0,NA,1,0
"LITCHFIELD (R NY-19)",1,0,1,0,1,0,0,0,0,NA,0,0,0,1,0,NA,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,NA,0,NA,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,NA,0,1,1,NA,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,NA
"WOODCOCK (R NY-20)",1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,1,0,NA,0,0,1,1,0,1,1,0,1,1,NA,1,0,0,0,1,0,NA,NA,0
"ROCHESTER (R NY-20)",1,0,0,1,1,1,0,0,0,1,1,1,0,0,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,NA,1,1,0,1,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,1,1,1,0,NA,1,0,1,0,1,1,1,0,0,1,1,1
"SPENCER (R NY-21)",1,NA,1,0,1,0,1,NA,0,0,0,0,1,1,0,1,NA,NA,1,1,0,1,0,NA,NA,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,0,0,1,1,0,NA,NA,0,1,1,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,1,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"TRACY (R NY-22)",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,0,NA,0,1,1,1,1,1,1,0,NA,NA,1,1,0,NA,NA,0,1,1,0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,NA,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"SAWYER (R NC-1)",NA,1,0,0,0,0,1,1,1,0,0,1,NA,0,0,1,1,0,1,1,0,1,0,1,1,1,1,NA,0,NA,0,1,1,0,0,0,0,1,0,1,1,0,1,0,NA,0,0,1,1,0,1,0,0,0,1,NA,1,1,1,1,NA,1,NA,NA,1,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURTON (R NC-2)",0,1,0,0,0,0,1,1,1,0,0,1,NA,NA,NA,NA,0,1,NA,0,1,0,1,0,0,0,0,1,1,NA,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,0,NA,1,0,0,1
"HALL (R NC-3)",1,1,0,0,0,0,NA,0,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,NA,0,1,0,0,NA,1,0,1,1,1,1,0,NA,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,1,0,0,NA,NA,NA,1,1,0,0,1,1,0,NA
"BLACKLEDGE (R NC-4)",1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,NA,0,1,1,0,0,1,NA,1,0,0,1,0,1,0,0,0,1,0,NA,1,1,1,1,1,1,1,1,0,0,1,1,0,NA,0,0,0,1,1,NA,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,NA,1
"HOOKS (R NC-5)",1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,NA,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,NA,0,1,0,1,1,NA,NA,1,1,0,0,1,0,1,1,NA,1,0,1,1,1,1,0,NA,1,1,NA,0,1,0,0,0,0,0,0,0,1,1,NA,1,1,NA,0,1,1,0,1
"EDWARDS (R NC-6)",1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,NA,1,NA,0,1
"MCNEILL (Federalist NC-7)",0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,NA,0,1,0,1,0,0,NA,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,NA,NA,1,0,1,0,0,0,0,1,NA,1,NA,NA,0,1,1,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,0,0,1,NA,0,0,1,0,1,1,1,NA,0,1,0,1,NA
"CRUDUP (R NC-8)",1,1,1,0,0,0,0,NA,0,0,0,1,1,1,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,1,1,0,0,0,1,NA,NA,NA,1,0,1,1,1,0,NA,0,0,0,0,0,0,1,1,1,0,1,1,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUNDERS (R NC-9)",1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,NA,1,0,1,0,NA,0,1,1,0,0,1,1,0,1,0,0,NA,NA,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,NA,NA,0,1,1,1,1,NA,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,NA,NA,NA
