"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69"
"FINDLEY (NA PA-98)",1,1,NA,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,NA,1,NA,0,1,1,NA,1,1
"FITZSIMONS (NA PA-98)",0,0,1,1,0,1,1,0,0,1,0,0,0,1,NA,1,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,1,0,0,1,0,1,NA,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,NA,1,0,0,0,0,0,0,0,0,1
"KITTERA (NA PA-98)",0,NA,1,NA,0,1,1,NA,NA,1,0,0,0,0,0,0,NA,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,1,0,1,1,1,1,0,0,NA,0,0,0,0,0,1
"SCOTT (NA PA-98)",0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,NA,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,NA
"BOURN (NA RI-98)",0,0,1,NA,0,1,1,0,1,1,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,NA,0,1,1,0,0,1,0,0,1,NA,1,1,0,NA,0,1,0,0,1,1,1,0,1,0,1,NA,NA,1,0,1,1,1,1,0,0,0,0,NA,0,0,0,NA
"MALBONE (NA RI-98)",0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,NA,0,0,0,0,0,1
"SMITH (NA SC-1)",0,NA,0,1,0,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,NA,1,NA,0,NA,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,NA,1,0,0,1,0,0,0,NA,0,1
"HUNTER (NA SC-2)",NA,1,1,1,1,1,0,0,1,0,0,1,1,1,1,NA,0,0,1,0,0,0,NA,0,1,1,NA,0,1,1,0,1,1,1,0,0,1,0,1,1,1,NA,1,1,1,1,1,0,1,1,1,NA,NA,0,0,1,0,0,1,0,0,1,0,0,0,1,NA,0,1
"BENTON (NA SC-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,1,0,NA,NA,1
"WINN (NA SC-4)",1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,NA,1,1,1,NA,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,NA,1,1,0,1,0,1,0,1,1,NA,1,1,0,NA,NA,NA,NA,1,1,1,0,1,1,0,0,0,0,1,NA
"GILLON (NA SC-5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,0,1,1,0,0,NA,NA,NA,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,NA,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARPER (NA SC-5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0
"PICKENS (NA SC-6)",1,1,1,1,1,0,0,1,0,NA,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,NA,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
"SMITH (NA VT-1)",1,1,1,0,1,NA,NA,0,1,0,0,1,1,1,1,1,1,1,1,NA,0,0,1,1,1,0,0,NA,0,NA,NA,1,NA,1,0,0,1,0,0,NA,0,0,NA,1,0,1,NA,0,1,1,0,0,NA,NA,0,1,0,0,0,0,0,1,NA,1,1,NA,NA,0,0
"NILES (NA VT-2)",0,1,1,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,NA,NA,1,0,0,0,0,0,1,1,0,1,0,1,NA,0,0,0,NA,NA,0,1,0,0,0,0,0,1,0,0,1,1,NA,0,0
"RUTHERFORD (NA VA-1)",1,1,NA,1,1,NA,0,0,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,0,0,1,1,NA,0,1,0,0,NA,NA,NA,0,0,1,1,1,1,0,0,1,1,0,1,0,NA,0,1,0,1,0,0,0,1,1,NA,NA,NA,1,NA,NA
"MOORE (NA VA-2)",1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,NA,NA,NA,NA,0,0,0,1,NA,NA,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
"NEVILLE (NA VA-3)",1,0,1,1,1,NA,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,NA,0,1,NA,0,0,NA,1,1,NA
"PRESTON (NA VA-4)",1,1,1,1,1,1,0,0,1,0,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,0,NA,0,NA,1,NA,NA,0,0,1,0,0,1,0,1,0,1,0,0,1,NA,0,1,0,0,1,1,NA,NA,NA
"HANCOCK (NA VA-5)",NA,1,NA,NA,1,NA,NA,0,0,1,1,1,1,1,1,1,NA,0,1,NA,0,0,0,0,1,0,1,1,0,0,1,1,0,1,NA,NA,1,0,0,NA,NA,0,NA,NA,1,1,1,NA,1,0,NA,NA,NA,NA,0,1,0,1,0,0,0,1,1,1,NA,1,NA,1,NA
"COLES (NA VA-6)",1,0,NA,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,NA,1,1,0,0,1,0,0,1,1,0,0,1,0,0,NA,0,1,0,0,NA,1,NA,NA,0,0,1,0,0,0,0,NA,0,1,0,0,NA,NA,0,1,NA,1,1,1,NA,NA,NA
"VENABLE (NA VA-7)",1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,NA,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,NA,1,0,0,1,0,1,0,1,0,0,0,0,0,1,NA,1,1,1,NA,1,NA
"CLAIBORNE (NA VA-8)",NA,1,NA,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,NA,0,1,0,1,1,1,1,1,0
"GILES (NA VA-9)",1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,NA,0,0,0,1,1,1,1,0,1,0,0,0,0,NA,0,1,0,0,NA,0,0,1,NA,1,NA,1,1,NA,NA
"HARRISON (NA VA-10)",1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,NA,1,1,1,1,1,0
"PARKER (NA VA-11)",1,1,1,0,1,0,NA,0,1,1,1,1,1,1,1,1,NA,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,NA,0,0,NA,0,1,0,0,0,1,0,1,0,NA,NA,NA,1,NA,NA
"PAGE (NA VA-12)",NA,NA,NA,NA,NA,0,0,0,1,0,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,0,1,0,NA,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,1,1,1,1
"GRIFFIN (NA VA-13)",0,1,NA,1,0,1,1,NA,NA,1,0,1,1,1,1,1,NA,0,NA,1,NA,NA,NA,NA,0,0,0,0,1,1,0,1,1,1,0,NA,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,1,1,NA,1,0,NA,1,0,0,1,1,1,NA,NA,NA,NA,NA,0,1,NA,NA
"WALKER (NA VA-14)",1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,1,1,1,1,NA
"MADISON (NA VA-15)",1,1,1,1,1,1,0,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,NA,0,1,0,NA,NA,NA,1,NA,0,0,1,1,1,0,0,1,NA,NA,0,0,1,0,1,0,0,NA,0,0,1,0,1,1,1,1,0,0
"NEW (NA VA-16)",1,1,1,NA,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,NA,1,0,1,1,0,1,0,0,1,0,0,NA,1,0,1,0,0,1,NA,0,0,NA,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,NA
"LEE (NA VA-17)",1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,1,0,0,1,1,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,NA,0,NA,0,NA,NA,NA
"NICHOLAS (NA VA-18)",1,1,1,1,1,0,NA,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,NA,1,0,0,1,0,1,0,0,NA,0,0,1,0,1,1,1,1,NA,NA
"HEATH (NA VA-19)",1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0,1,1,NA
