"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106"
"BRYAN (R NC-2)",NA,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,NA,0,NA,NA,1,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA
"HALL (R NC-3)",1,0,0,1,0,1,1,1,0,1,NA,1,0,1,1,1,1,0,1,0,1,0,NA,0,1,0,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,0,NA,0,0,0,NA,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,NA,1
"SLOCUMB (Federalist NC-4)",1,0,0,0,0,1,NA,0,1,0,1,1,0,1,1,1,NA,NA,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,NA,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,NA,NA,NA,NA
"OWEN (R NC-5)",1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,NA,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,NA,NA,NA,1,1,0,0,0,1,0,1,1,NA,NA,0,0,1,0,0,0,1,1,1,NA,0,0,1,1,0,0,0,NA,NA,1,0,NA,1,1,1,0,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,1,1,NA,1,0,0,1,0,1
"EDWARDS (R NC-6)",1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,NA,0,1,1,0,1,1,0,1,NA,NA,NA,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,NA,1,NA,NA,0,0,1,0,NA
"STEWART (Federalist NC-7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,NA,1,1,0,1,NA,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA,1,NA,0,1,0,NA
"SMITH (R NC-8)",1,1,1,1,1,0,1,0,1,0,1,1,0,NA,1,1,1,NA,1,0,1,0,NA,0,1,NA,0,0,1,1,1,0,0,0,0,0,0,1,0,1,NA,NA,0,0,1,0,NA,0,0,0,NA,0,1,NA,1,1,NA,1,1,0,0,0,NA,NA,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,1,1,1,0,1,1,NA,1,0,NA,NA,NA,NA
"SETTLE (R NC-9)",1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,NA,1,0,NA,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,NA,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,NA,0,1,0,1
"MUMFORD (R NC-10)",1,1,0,0,0,0,1,0,1,0,1,NA,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,NA,NA,NA,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FISHER (R NC-10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,NA,NA,NA,1,1,0,1,1,NA,1,0,NA,1,0,1
"FORNEY (R NC-11)",1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,NA,0,1,0,1,1,1,0,1,0,0,0,0,0,NA,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1,0,1,NA,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVIDSON (Federalist NC-11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,NA,NA,NA,1,1,0,1,1,1,1,0,0,1,0,1
"WALKER (R NC-12)",1,1,1,1,1,1,1,0,1,NA,1,0,1,1,1,NA,0,1,0,1,NA,NA,NA,1,1,NA,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,1,1,1,0,1,NA,NA,NA,1,0,0,1,0,1,0,0,1,1,NA,0,1,1,0,0,1,1,0,0,NA,NA,0,0,0,0,NA,0,0,1,1,1,0,1,1,1,1,0,0,1,NA,1
"WILLIAMS (R NC-13)",1,NA,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,NA,1,1,NA,NA,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,NA,NA,NA,0,0,0,0,1,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1
"HARRISON (R OH-1)",1,1,1,0,1,0,1,0,1,0,0,0,1,1,NA,0,0,1,0,1,0,1,0,0,1,0,NA,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,NA,NA,NA,1,1,NA,0,0,NA,1,0,0,0,0,1,0,NA,1,0,1,1,0,1,0,0,1,1,1,1,1,NA,1,1,1,0,0,1,1,0,NA,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1
"CAMPBELL (R OH-2)",1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,NA,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,NA,NA,NA,1,1,0,1,0,1,1,0,0,0,1,NA
"BARBER (R OH-3)",1,NA,0,0,0,1,0,1,0,1,1,NA,0,NA,0,NA,1,NA,0,1,NA,0,0,0,1,NA,0,0,0,1,0,1,1,1,0,0,1,0,1,0,NA,1,1,1,NA,1,1,0,1,1,NA,0,NA,NA,1,0,1,0,0,1,1,NA,0,1,NA,NA,0,1,NA,1,0,0,1,1,1,NA,0,1,0,1,1,1,1,0,1,0,1,NA,1,1,1,1,1,0,0,0,1,0,0,NA,NA,1,1,0,1,1
"HERRICK (R OH-4)",1,0,1,1,1,0,0,1,0,1,1,NA,1,0,0,1,1,1,NA,NA,1,1,0,0,1,0,0,1,NA,NA,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,1,1,NA,0,0,0,1,0,0,1,1,NA,0,0,NA,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,NA,1,1,0,1,1
"BEECHER (R OH-5)",1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,NA,0,1,0,1,0,0,1,1,0,NA,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,NA,1,1,1,0,0,1,NA
"HITCHCOCK (R OH-6)",1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,NA,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,NA,1,0,1,0,1,0,1,0,0,1,NA,0,NA,1,0,1,0,0,1,1,NA,1,1,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,NA,NA,1,NA
"HOPKINSON (Federalist PA-1)",0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,NA,NA,1,0,0,NA,NA,1,0,0,0,0,0,NA,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,NA,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,NA,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,NA,NA,NA,0,0,1,1,1,0,0,0,1,0,1,0
"SERGEANT (Federalist PA-1)",1,1,NA,NA,NA,NA,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,NA,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,0,0,1,1,0,1,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,NA,NA,0,0,1,1,1,NA,0,NA,1,0,1,0
"ANDERSON (R PA-1)",1,0,0,1,1,1,1,0,1,0,1,0,1,NA,0,1,0,1,0,NA,0,1,NA,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,0,0,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,0,NA,NA,NA,1,1,1,1,1,0,0,0,1,NA,1,1,1,1,1,0,1,NA
"SEYBERT (R PA-1)",1,1,1,1,1,NA,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,NA,1,1,0,1,0,0,1,NA,NA,NA,0,0,0,0,NA,1,1,NA,NA,NA,NA,1,0,0,NA,1,1,1,1,1,0,1,0,1,1,NA,NA,NA,1,1,0,0,0,1,0,NA,1,1,0,0,0,NA,1
"PAWLING (Federalist PA-2)",1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,1,0,1,0,0,1,0,NA,NA,NA,NA,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,NA
"DARLINGTON (Federalist PA-2)",1,1,0,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,NA,NA,NA,NA,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0
"WALLACE (R PA-3)",1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,NA,NA,NA,NA,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,NA,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,NA
"WHITESIDE (R PA-3)",1,NA,1,1,1,0,1,0,1,0,1,0,1,NA,0,1,0,1,0,1,0,1,0,0,1,NA,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,NA,NA,1,0,0,1,0,1,NA,0,1,1,1,0,0,1,1,1,1,1,1,0,0,NA,0,0,1,1,1,1,1,0,0,0,1,1,NA,0,1,1,1,0,1,NA
"SPANGLER (R PA-4)",1,1,1,1,1,1,NA,NA,1,0,1,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOSTETTER (R PA-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,NA,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,NA
"MACLAY (R PA-5)",1,NA,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,NA,0,0,1,1,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
"BODEN (R PA-5)",1,0,1,1,1,0,1,0,1,0,NA,0,1,NA,0,1,1,0,NA,NA,1,1,0,0,1,NA,1,1,NA,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,NA,1,0,0,1,1,1,0,0,NA,0,0,1,1,1,1,1,0,0,0,1,0,0,NA,NA,1,1,0,NA,NA
"INGHAM (R PA-6)",1,1,NA,NA,NA,NA,1,0,1,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROSS (R PA-6)",NA,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOORE (R PA-6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1
"ROGERS (R PA-6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,NA,0,0,0,1,0,1,0,1,1,0,1,NA,NA,1,0,0,1,NA,NA,0,0,1,1,NA,NA,NA,1,1,1,1,1,1,0,0,1,0,NA,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1
"HIESTER (R PA-7)",1,NA,1,1,1,0,1,0,1,0,1,0,1,NA,0,1,0,1,NA,NA,0,1,0,NA,1,NA,NA,0,1,NA,0,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,0,0,1,NA,0,0,1,0,1,NA,NA,NA,0,0,NA,NA,NA,NA,0,1,0,1,0,0,1,1,NA,NA,NA,1,1,1,1,1,1,0,0,NA,NA,0,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA
"OGLE (R PA-8)",NA,0,0,0,0,0,NA,NA,NA,1,0,1,1,NA,0,0,0,1,0,1,0,1,1,1,1,NA,0,NA,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,NA,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,NA,1,1,1,1,1,0,0,1,NA,NA,1,0,NA,NA,NA,NA,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,0,1,0,1,1
"MACLAY (R PA-9)",1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,NA,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,NA,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0
"WILSON (R PA-10)",1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,NA,0,0,1,NA,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,NA,1,1,1,0,1,0,0,0,NA,0,1,0,0,1,0,NA,0,1,0,0,1,0,1,0,1,1,0,1,NA,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1
"MURRAY (R PA-10)",1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,NA,0,1,1,NA,0,1,1,1,1,1,0,0,0,1,1,1,1,NA,1,1,0,1,0
"MARCHAND (R PA-11)",1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,1,0,1,1,NA,NA,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,NA,0,0,1,1,1,1,1,0,0,0,1,0,0,NA,NA,1,NA,NA,NA,NA
"PATTERSON (R PA-12)",1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,NA
"TARR (R PA-13)",1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,NA,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,NA,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1
"BALDWIN (R PA-14)",0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,NA,NA,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,NA,1,1,0,1,1,1,1,0,1,0,1,1,1,NA,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,1,NA,NA,1,NA,NA,NA,1,1,0,0,1,0,NA,1,0,1,0,1
"MOORE (R PA-15)",1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,NA,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,NA,NA,0,0,1,0,1,0,1,NA,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,NA,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,NA,NA,0,NA,0,1,NA
"MASON (Federalist RI-98)",NA,NA,NA,NA,NA,NA,1,0,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,1,0,1,NA,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,NA,NA,1,0,0,1,1,0,1,0,0,1,1,0,0,1,NA,NA,NA,0,NA,NA,1,1,0,NA,NA,1,1,0,0,0,0,0,0,1,0,0,NA,0,1,0,1,1,NA,0,0,0,1,1,1,NA,0,0,1,0,1,NA
"BOSS (Federalist RI-98)",1,0,1,1,1,0,1,0,1,0,1,NA,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,NA,0,0,0,0,NA,0,1,1,0,0,0,1,NA,1,1,0,0,0,1,NA,0,NA,NA,1,NA,0,0,1,0,NA,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,1,1,0,1,1,0,1,NA
"MIDDLETON (R SC-1)",0,NA,0,0,0,1,1,0,1,0,NA,1,0,1,1,NA,0,1,0,NA,0,0,1,1,0,0,0,1,0,1,1,1,NA,0,NA,NA,1,1,NA,1,0,0,0,0,0,1,0,NA,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,1,0,0,1,1,1,0,NA,1,0,0,1,0,NA,1,1,NA,1,1,1,1,1,0,1,0,1,1,0,0,NA,NA,0,1,1,1,0,1,1,NA,1,0,0,1,0,1
"LOWNDES (R SC-2)",1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,NA,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,0,1,0,1,1,0,NA,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,NA
"ERVIN (R SC-3)",NA,NA,0,1,1,0,0,1,0,1,1,NA,1,1,1,1,0,1,0,1,0,1,1,0,1,NA,NA,1,NA,1,0,1,1,0,1,1,1,1,NA,1,NA,NA,0,0,0,NA,NA,NA,1,1,0,0,NA,0,0,1,NA,1,1,0,1,NA,1,0,1,0,1,NA,0,1,0,0,1,NA,NA,1,1,1,1,1,1,1,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,1,1,0,1,0,NA,NA,NA,0,1,0,NA
"BELLINGER (R SC-4)",1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
