"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96"
"BAILEY (R NY-5)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,NA,0,1,0,NA,NA,NA,NA,1,1,0,1,1,1,0,1,0,NA,1,1,1,0,1,1,0,0,1,1,NA,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,NA,0,1,1,0,NA,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,NA,0,0
"BIRD (Federalist NY-6)",0,1,1,1,0,0,1,0,NA,0,1,1,1,0,0,0,1,1,1,0,1,0,0,NA,1,1,1,NA,1,1,1,0,0,0,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,1,1,0,1,1,1,1,0,NA,0,1,1,0,0,0,0,1,1,1,0,0,1,0,NA,1,0,0,0,1,NA,0,0,1,NA,NA,NA
"THOMPSON (R NY-7)",1,1,0,0,1,1,0,0,1,1,1,0,0,NA,NA,0,0,1,0,NA,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,NA,0,1,0,1,1,1,0,1,1,1,1,0,1,NA,0,0,1,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,NA,1,1,1,0,1,1,0,1,NA,NA,NA
"GLEN (Federalist NY-8)",0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1
"PLATT (Federalist NY-9)",0,1,1,1,0,0,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,1,1,1,NA,0,1,0,0,0,1,0,0,0,1,NA,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1
"COOPER (Federalist NY-10)",0,NA,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,NA,NA,NA,1,1,1,0,0,1,0,0,0,1,0,0,0,1,NA,1,0,0,NA,1,1,0,NA,0,1,1,1,0,1,1,1,NA,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA
"DICKSON (Federalist NC-1)",0,NA,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,NA,NA,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1
"HENDERSON (Federalist NC-2)",NA,1,1,NA,NA,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,NA,NA,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,NA,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,NA,NA,1,0,1,1,1
"WILLIAMS (R NC-3)",1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,NA,1,1,NA,0,NA,NA,NA
"STANFORD (R NC-4)",1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,NA,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,NA,0,0,NA,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0
"MACON (R NC-5)",1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,NA,NA,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0
"HILL (Federalist NC-6)",0,1,1,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,1,1,0,0,1,0,NA,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,NA,0,1,0,0,0,1,1,NA,0,NA,0,1,NA,0,0,1,1,1,1,1,0,1,1,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,1,0,0,0,1,0,1,NA,0,NA,1,1,1,1,1,NA,NA,NA,NA
"GROVE (Federalist NC-7)",0,1,1,NA,NA,NA,NA,NA,0,0,1,1,1,NA,0,0,0,1,0,1,0,0,0,NA,0,1,1,1,NA,1,NA,NA,0,0,0,1,1,0,1,0,NA,1,NA,1,1,NA,NA,1,1,1,NA,NA,0,1,NA,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,NA,1,1,1,1,NA,1,1
"STONE (R NC-8)",NA,1,0,NA,NA,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0
"ALSTON (R NC-9)",1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,NA,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,NA,0,0,0
"SPAIGHT (R NC-10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,1,1,0,0,NA,NA,1,1,0,1,1,1,NA,1,NA,NA,0,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,0,NA,NA,0,0,0,1,1,0,0,0,0,1,1,NA,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0
"WALN (Federalist PA-1)",0,1,1,NA,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,1,1,1,0,0,1,0,NA,0,0,1,0,1,1,0,0,1,1,1,0,NA,NA,NA,NA,NA
"LEIB (R PA-2)",1,NA,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,NA,1,NA,1,1,1,0,1,NA,1,1,0,1,0,0,0,NA,NA,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,NA,1,1,0,0
"THOMAS (Federalist PA-3)",0,1,1,NA,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,NA,1,0,1,NA,NA,0,0,NA,NA,1,0,1,0,0,0,1,1,1,0,0,1,NA,NA,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"MUHLENBERG (R PA-4)",1,NA,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,NA,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0
"BROWN (R PA-4)",1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,NA,NA,1,1,0,1,1,1,0,1,1,1,1,0,1,NA,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"HIESTER (R PA-5)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,NA,NA,NA,1,1,1,0,0,0,1,0,NA,0,1,1,NA,1,NA,NA,NA,1,1,1,0,1,1,NA,1,0,1,0,0,NA,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"HANNA (R PA-6)",1,1,0,0,1,1,0,0,1,1,1,1,NA,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,NA,NA,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"KITTERA (Federalist PA-7)",NA,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,NA,NA,NA,0,NA,1,1,1,1,NA,1,1,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,NA,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,1,1,1,0,1,1,NA,1,1
"HARTLEY (Federalist PA-8)",NA,NA,1,0,0,1,0,0,1,0,1,1,NA,1,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,1,0,0,NA,1,0,1,1,NA,0,NA,1,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEWART (R PA-8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,NA,0,0,1,0,NA
"GREGG (R PA-9)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,NA,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,NA,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"WOODS (Federalist PA-10)",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,NA,NA,1,1,NA,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,NA,1,1,1,0,NA,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,NA,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,NA,1,1,1
"SMILIE (R PA-11)",1,NA,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"GALLATIN (R PA-12)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,NA,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"CHAMPLIN (Federalist RI-98)",0,1,1,1,0,0,1,0,NA,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,NA,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,NA,0,0,0,1,NA,1,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,0,0,NA,1,1,1,NA,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1
"BROWN (Federalist RI-98)",0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1
"PINCKNEY (Federalist SC-1)",NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,NA,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,NA,0,NA,NA,NA,0,1,1,1,1,1,0,1,1,1,1,0,0,NA,1,1,1,NA,0,0,1,0,1,0,0,1,0,1,NA,0,0,0,1,NA,0,1,0,1,1,1
"RUTLEDGE (Federalist SC-2)",0,1,1,1,0,0,1,0,0,NA,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,NA,NA,1,1,0,0,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"HUGER (Federalist SC-3)",NA,1,1,0,0,1,1,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,NA,1,0,1,1,1,0,1,1,1,NA,1,1,1,1,1,0,1,0,1,1,0,NA,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,1
"SUMTER (R SC-4)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,NA,1,0,1,0,1,1,1,NA,1,1,1,1,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0,0
"HARPER (Federalist SC-5)",NA,1,1,0,0,0,1,0,0,0,1,1,1,0,NA,1,1,1,1,0,1,0,0,NA,1,1,1,NA,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,NA,NA,NA,1,1,1,NA,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,NA,0,1,0,1,1,1
"NOTT (Federalist SC-6)",0,1,1,0,0,1,1,1,NA,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,NA,NA,0,1,1,1,1,1,1,1,1,0,0,1,0,1,NA,0,1,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLAIBORNE (R TN-1)",1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,NA,1,1,0,1,1,1,0,1,1,1,0,NA,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0
"LYON (R VT-1)",1,NA,0,NA,NA,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,NA,1,NA,1,0,1,1,1,0,1,1,1,1,NA,NA,1,0,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,NA,0,0
"MORRIS (Federalist VT-2)",0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,NA,1,0,1,1,1,0,NA,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,NA,1,1,1
"PAGE (Federalist VA-1)",1,1,1,0,0,0,1,0,NA,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,NA,NA,NA,1,1,1,0,1,NA,1
"HOLMES (R VA-2)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,NA,NA,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,NA,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0
"JACKSON (R VA-3)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,NA,NA,0,0,NA,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,NA,1,1,0,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,NA,NA,NA,0,1,1,0,0,0,NA,NA
"TRIGG (R VA-4)",1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,NA,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"TRIGG (R VA-5)",1,NA,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"CLAY (R VA-6)",1,1,0,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,NA,0,1,1,1,1,0,1,0,1,1,1,0,NA,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,NA
"RANDOLPH (R VA-7)",1,1,0,0,1,1,0,0,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,NA,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,NA,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0
"GOODE (R VA-8)",1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGGLESTON (R VA-9)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"GRAY (R VA-10)",0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,0,1,1,0,1,0,NA,0,0,NA,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA
"PARKER (Federalist VA-11)",0,1,1,0,0,1,1,1,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,NA,1,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,NA,0,1,0,0,NA,NA,NA,NA,NA
"EVANS (Federalist VA-12)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,1,0,0,0,0,1,0,1,NA,0,1,1,1,1,0,1,0,1,1,1
"MARSHALL (Federalist VA-13)",0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,NA,1,0,NA,1,NA,0,0,0,0,1,0,NA,0,0,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAZEWELL (R VA-13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA
"CABELL (R VA-14)",NA,NA,NA,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0
"DAWSON (R VA-15)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,NA,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,NA,NA,1,1,0,NA,0,0,1,1,NA,0,0,1,1,0,0,NA,0,1,0,0,0,0,0,NA,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"NEW (R VA-16)",1,1,0,0,1,1,0,0,NA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,NA,0,0,0,1,0,0,0,1,NA,NA,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,NA,0,0
"POWELL (Federalist VA-17)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,NA,1,1,NA,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,NA,1,1,1,0,1,0,NA,1,1,NA,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,NA,NA,1,1
"NICHOLAS (R VA-18)",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0
